# Generated by scripts/snapshot-opening-popularity.mjs
# source=https://chess-analysis.org/api/explore/lichess
# snapshot=2026-08-06T18:32:36.169Z
# variant=standard; speeds=blitz,rapid,classical; ratings=1200,1400,1600,1800,2000,2200,2500
# measuredParentDepth=4; deeper lines use documented 0.82-per-ply decay
uci	globalGames	globalShare
c2c4 c7c6 g1f3 d7d5 e2e3 g8f6 d1c2	408642	0.16086513
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 b2b3 g7g6	257074	0.10119920
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2	313504	0.12341331
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2 c8f5	257074	0.10119920
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2 c8f5 e1g1 e7e6 d2d3	141742	0.05579785
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2 d5c4	257074	0.10119920
c2c4 d7d5	10578416	0.07418870
c2c4 d7d5 c4d5 d8d5 b1c3 d5a5	4195612	0.72870862
c2c4 d7d5 c4d5 e7e6	205729	0.02840334
c2c4 d7d5 c4d5 g8f6	903835	0.12478518
c2c4 e7e5	46834168	0.32845805
c2c4 e7e5 b1c3	28505586	0.60927720
c2c4 e7e5 b1c3 b8c6	4982649	0.17492913
c2c4 e7e5 b1c3 b8c6 g1f3	1301955	0.24495220
c2c4 e7e5 b1c3 b8c6 g2g3 d7d6 f1g2 c8e6	1158511	0.21796438
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 a1b1 g8h6 f1g2 f8g7	778983	0.14655929
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7	1158511	0.21796438
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 a1b1	949979	0.17873079
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3	949979	0.17873079
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6	778983	0.14655929
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 e2e4	638766	0.12017861
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 d7d6 g1e2 c8e6	523788	0.09854644
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 d7d6 g1e2 g8h6	523788	0.09854644
c2c4 e7e5 b1c3 d7d6 g1f3	587745	0.19427949
c2c4 e7e5 b1c3 d7d6 g1f3 c8g4	481951	0.15930922
c2c4 e7e5 b1c3 d7d6 g2g3 c7c6	990945	0.32755751
c2c4 e7e5 b1c3 f8b4	1878970	0.06596623
c2c4 e7e5 b1c3 g8f6	10888254	0.38226108
c2c4 e7e5 b1c3 g8f6 f2f4	0	0.00000000
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6	49200	0.30750000
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 a2a3	40344	0.25215000
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d3	40344	0.25215000
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d4 e5d4 f3d4 f8b4 c1g5 h7h6 g5h4 b4c3 b2c3 c6e5	6762	0.04226250
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d4 e5e4	33082	0.20676250
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3	40344	0.25215000
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3 f8b4 d1c2 b4c3	22244	0.13902500
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3 f8b4 d1c2 e8g8 c3d5 f8e8 c2f5	12265	0.07665625
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e4	40344	0.25215000
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3	40344	0.25215000
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6	14957	0.09348125
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 d7d5 c4d5 f6d5 f1g2 f8c5	14957	0.09348125
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 d2d3 d7d6 f1g2	18240	0.11400000
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 d2d3 d7d6 f1g2 a7a6	14957	0.09348125
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 d2d3 d7d6 f1g2 e8g8 e1g1	12265	0.07665625
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 d2d3 d7d6 f1g2 h7h6	14957	0.09348125
c2c4 e7e5 b1c3 g8f6 g1f3 e5e4 f3g5 b7b5	33082	0.20676250
c2c4 e7e5 b1c3 g8f6 g1f3 e5e4 f3g5 c7c6	33082	0.20676250
c2c4 e7e5 b1c3 g8f6 g1f3 e5e4 f3g5 f6g4	33082	0.20676250
c2c4 e7e5 b1c3 g8f6 g2g3	70000	0.43750000
c2c4 e7e5 b1c3 g8f6 g2g3 b8c6 f1g2 d7d6 d2d3 f8e7 g1f3 e8g8	17450	0.10906250
c2c4 e7e5 b1c3 g8f6 g2g3 c7c6	57400	0.35875000
c2c4 e7e5 b1c3 g8f6 g2g3 d7d5	57400	0.35875000
c2c4 e7e5 b1c3 g8f6 g2g3 f8b4	57400	0.35875000
